,name,time,tweet
30,Karla H.,2022-03-13 01:13:39,"No supero que los haya visto en una pantalla grande, se veían hermosos, no me imagino cuando vaya a un concierto 😭😭… https://t.co/aet09NZYft"
31,Brenda Santeliz,2022-03-13 01:12:51,"Gracias por acompañarme a ver a BTS, @Beethsrc 🤭💜
#BTSARMY  #BTS_PTD_ON_STAGE_SEOUL 
#BTS_IN_MÉXICO 
#cinepolis https://t.co/kGuE6R7DC6"
32,D♡,2022-03-13 01:08:48,"acabo de salir del cine y solo diré que me duele la garganta ,😭💜 fue hermosooo! casi se me sale el alma en black sw… https://t.co/ghiRbVLZKH"
33,Erika Grom🗡,2022-03-13 01:08:19,COMO SUPERO ESTO?!!             #BTS #PermissionToDanceOnStageSeoul #ARMY #BTS_PTD_ON_STAGE_SEOUL #BTSCONCERT… https://t.co/krhE8k2XKt
34,閃光,2022-03-13 01:04:45,"Que feliz fui el día de hoy 💘
 #BTS_IN_MEXICO #BTSARMY https://t.co/HA4fdbya1P"
35,zoe | ʸᵒᵒⁿᵍᶦ ᵈᵃʸ🍊,2022-03-13 01:04:35,"MUY LINDO TODO 💜💜

#BTS_PTD_ON_STAGE_SEOUL 
#BTS_IN_MEXICO https://t.co/rym8su5un4"
36,;; bokisusu,2022-03-13 01:02:35,"#cinepolis gracias por tanto.
hermanas de sangre morada las amo 💜
#BTSARMY 
#BTS_PTD_ON_STAGE_SEOUL 
#BTS_IN_MEXICO https://t.co/NY9YRUzPQ3"
37,⁵brᥱᥒ⁷🦔,2022-03-13 01:00:01,"que bonita experienciaaa!💜💜

@BTS_twt
#bts_in_mexico
#방탄소년단  
#PTD_ON_STAGE_SEOUL https://t.co/M8yzyP7Ipi"
38,Karinam15,2022-03-13 00:56:06,"#BTS_IN_MEXICO #JungKooK
Tan guapo https://t.co/bVi2dM6GOs"
39,Mit,2022-03-13 00:53:56,"Ustedes si fueron con sus amiwibis al cine?? 😋💜

#PermissionToDanceOnStageSeoul 
#BTSPermissionToDanceOnStage… https://t.co/KsgptNnWHs"
40,Mit,2022-03-13 00:52:23,"Borrosa pero felizz

#PermissionToDanceOnStageSeoul 
#BTSPermissionToDanceOnStage 
#BTS_IN_MEXICO https://t.co/Gg0RcUYTUv"
41,Karinam15,2022-03-13 00:51:43,"#BTS_IN_MEXICO
Fotitos que tome https://t.co/zwyezRPekN"
42,Karla H.,2022-03-13 00:51:00,"NECESITO IR A UN CONCIERTO DE BTS, VIENDOLOS EN UNA PANTALLA GRANDE NO ES SUFICIENTE 😭
#BTS_PTD_ON_STAGE_SEOUL
#BTS_IN_MEXICO"
43,Karinam15,2022-03-13 00:50:36,"#BTS_IN_MEXICO
SI SE PUDOOO
Feliz porque fui al cine a verlos https://t.co/oPixOJWtzi"
44,Illary19,2022-03-13 00:48:18,#BTS_IN_MEXICO el mejor dia gracias #cinepolis https://t.co/DEDdkV5wjZ
45,Min_Ariʸᵒᵒⁿᵍⁱ ᵈᵃʸ🌙☪️,2022-03-13 00:42:16,"Weee es que fue hermoso todoooo🥰💜💜😭
#BTSPermissionToDanceOnStage
#PermissionToDanceOnStageSeoul
#BTS_IN_MEXICO… https://t.co/6an8wV7KaQ"
46,♡ Nancy⁷ - 🐱🍊,2022-03-13 00:32:34,"Algunos freebies hechos por Armys 💜, un Yoongi tamaño real, los regalitos de @Cinepolis y una pc que simplemente de… https://t.co/SGdWvtWhfx"
47,l⁷ ⟭⟬,2022-03-13 00:30:30,Gracias por formar parte y volverse mi hogar. Gracias a ustedes por mejorar mi vida y hacerme la persona que soy ah… https://t.co/K50IO6ei5p
48,Lupita Romero 💜✨,2022-03-13 00:28:48,"al final si me dejaron ir 
#BTS_IN_MEXICO https://t.co/0MvgGUtNiD"
49,witch var⁷,2022-03-13 00:21:18,Estubo bien chidoo lo mejor 🔥🔥🥺#BTS_IN_MEXICO https://t.co/BqttCJyesn
50,Mz,2022-03-13 00:21:13,"Como afuera de mi cine había una pista de hielo, quirnes toman clases empezaron a bailaaaaar
Encima le dieron la en… https://t.co/XsCwVcJiRG"
51,༚ᵇᵘᵗᵗᵉʳɳεα⁷,2022-03-13 00:20:22,"Estuvo muy bonito todo 💜
#BTS #BTSARMY #ARMY #BTSCONCERT #BTS_PTD_ON_STAGE_SEOUL  #BTS_IN_MEXICO @BTS_twt https://t.co/CokCtliqZn"
52,𝐿𝒶𝓊 ⁷,2022-03-13 00:16:21,"Amé tanto 😭💜
Nunca me imaginé salir del cine con palomitas y sin voz.

#BTSARMY #BTS_PTD_ON_STAGE_SEOUL… https://t.co/IXcNaJBCc7"
53,•Ana• 🍊🇲🇽,2022-03-13 00:09:37,"Que buen ambiente hubo en la sala que me toco  🥳 💜

#PermissiontoDance #BTS #BTSARMY #ARMY #BTSCONCERT… https://t.co/6IJzReGE5Q"
54,Mz,2022-03-13 00:08:55,"Se pudoooo
#BTS_IN_MEXICO https://t.co/Rk5lgAJh0a"
55,Steffany Villagrán,2022-03-13 00:05:33,"Si así fue verlos en el cine... no me imagino en persona 🥺🥺

#BTSENGUADALAJARA #btsinguadalajara #BTS_IN_MEXICO… https://t.co/wi47EAYTRd"
56,Joonies,2022-03-13 00:05:21,"Tengo que recargar energía pero me la pasé increíble, mi sala traía toda la actitud y gritamos juntas a todo pulmón… https://t.co/DIqBpA8IPb"
57,Suleyha Carmina ❤️💜,2022-03-13 00:05:12,Las de Jalisco bien portadas ❤️💜💜💜                    #BTSENGUADALAJARA #btsinguadalajara #BTS_IN_MEXICO… https://t.co/imGanHVLCc
58,☆Mich☆⁷,2022-03-12 23:57:51,"Armys de Guadalajara, háganse presentes aquí porque los tannies nos caen en el estadio akron, YA LOS VI… https://t.co/uYutMMEBrV"
59,☆Mich☆⁷,2022-03-12 23:56:35,"El mejor día de mi vida, ahora solo falta vivir la experiencia en vivo, ver a los tannies en persona con mis amigas… https://t.co/UF7mqA6BUw"
60,Dian🐰,2022-03-12 23:19:02,"Diosito solo te pido mucha salud y muchaa suerte para poder algún día ir a un concierto de mis bebés🥺💜🕯.

#BTSARMY… https://t.co/nprbncndKX"
61,May 💜,2022-03-12 22:53:32,"Lo mejor 🥰
#BTSARMY #bts_in_mexico #BTS_PTD_ON_STAGE_SEOUL https://t.co/Axz5YPs3Kq"
62,Dona_doramas,2022-03-12 22:50:18,"Para mí, este fue de los mejores momentos 😍 #PTD_ON_STAGE_SEOUL #bts_in_mexico #bts #BTSARMY #JIN https://t.co/cE53dLhxYi"
63,Angeles,2022-03-12 22:44:20,"CONFIRMADO BTS EN MEXICO!!! SOLO FALTA QUE SE CONFIRME 🥺💜🇲🇽
#BTS_PTD_ON_STAGE_SEOUL #bts_in_mexico #BTSARMY https://t.co/4jTgNbH1Zr"
64,JOCELYNMJ,2022-03-12 22:43:26,"Todo muy lindo
Gracias army por regalar cositas
#bts_in_mexico
#ARMY
#BTS_IN_MEXICO 
#ARMYMEXICO 
#BTS https://t.co/icgPdu3KCM"
65,D 𓄼𓈒๋ 💜💚𓂃 𓈒 ⁷ (inactiva pero no),2022-03-12 22:27:31,"una vez más tuve una experiencia hermosa con army y bts 💜muchas gracias &lt;3 

@BTS_twt @Cinepolis #PermissionToDance… https://t.co/4PL85HRuir"
66,𝑩𝒂𝒏𝒈𝒕𝒂𝒏'𝒔 𝑹𝒆𝒂𝒍𝒎,2022-03-12 22:17:16,"Hoy estuvimos en un cine esperamos conocerlos algún día en persona 💜💜
#PTD_ON_STAGE_SEOUL #cinepolis @Cinepolis… https://t.co/AZMKrLvsJF"
67,Ana Luisa,2022-03-12 22:09:58,Sala 4 de @Cinepolis #cinepolismiramontes #bts_in_mexico #BTSPermissionToDanceOnStage @bts_bighit https://t.co/q0QRTSbAyY
68,chell,2022-03-12 22:02:14,"Hoy conocí a una parte de la familia ARMY 💜
#BTSCONCERT #BTSARMY #BTS_PTD_ON_STAGE_SEOUL_Day2… https://t.co/Lqp1O9Y52i"
69,𝓜𝓪𝓫𝓮𝓽𝓱♡ yoongi day,2022-03-12 21:59:03,"Locura total me divertí a lo grande 
#BTSCONCERT #BTS_IN_MEXICO @BTS_twt https://t.co/jMGHwpFGtZ"
